buuid,txn_vol,accepted_txn,failed_txn,capital_granted
1496053624791-dbe0b432-de20-435f-a502-4ca51ca85c36,98347.31,105,10,1
1499207222010-18d75010-aaa6-4fa1-831e-f3e1ba148936,81257.0,341,27,1
1500902104086-20f0936f-3644-460a-b01b-c5dcaa25e0a5,24248.0,37,17,1
1502827201403-3e8a0d94-830a-46a4-bbb8-99eac8f53384,56227.3,364,79,1
1499324919082-2a99a1eb-4079-45a6-8fe5-da18ff83135c,21796.0,138,40,1
1504197316404-7966dbad-d6b2-42be-9399-49255a054958,19783.0,165,60,1
1480487203565-7e4caa22-78f5-41ef-a4da-212f6b0f9b30,66843.0,220,84,1
1501701755979-5a183c5b-3c10-4cec-8f71-af224321c5c0,346185.0,1331,423,1
1505852342029-61258e8c-5ea3-407b-bd82-cdbdf36ae161,180436.88,884,128,1
1507753900376-4278d6b9-03b4-45e4-9486-7c9451b6a01e,61303.5,1143,206,1
1510906297893-11529c3c-1f7d-4bc0-8a48-ce5636fa0508,65835.43000000001,68,15,1
1511499393813-9617d3ec-ee50-4676-949e-734bae6bb746,118330.2,76,21,1
1517038091666-d30dc8e3-4385-415e-ad53-83212a158e70,69711.0,174,45,1
1517261233545-5d57b360-0c46-42b5-b9d3-efd1d58a7a4a,156405.0,640,134,1
1519890215146-a3b47ed5-1537-4eab-9773-e399fe1cc50a,24725.050000000003,22,1,1
1520570969392-8706445e-695e-406e-b2de-464b659f304e,54615.33,175,34,1
1523302100615-9b18b4a6-1d30-405c-b9ad-8058d87993a5,41654.59,127,19,1
1525338500852-cb9ba99f-3958-45cc-8559-d6d36e449a57,65455.0,846,233,1
1528184611707-a1f56d60-b6b1-42d9-951f-fbe43589a3a0,14020.0,46,2,1
1528119354378-26bb5c8b-473e-4687-ba51-d0868f8aeda2,121190.0,281,29,1
1528119354378-26bb5c8b-473e-4687-ba51-d0868f8aeda2,94920.0,232,14,1
1531812066067-82e0df07-d1f0-4cd6-8781-161af70c76ef,9275.0,37,2,1
1453495211851-56b38eb9-8db4-4c07-b6bb-09e774610f1b,25988.54,258,224,1
1458207273698-4a04c910-da6a-47fa-90ab-fa7bbbfd666d,119178.0,315,36,1
1467268310253-3af9b377-d985-451c-9eb0-df0000ee8a34,19550.989999999998,73,40,1
1478769769987-41e1fc1c-b026-4601-801a-f3f6d958c391,10630.0,24,3,1
1479108360638-bf43ff5d-7e91-43c3-aeb5-f2fda4502650,1057648.99,846,100,1
1480424585647-53b134fe-8792-483f-b567-3c5800ce37c8,14140.0,31,10,1
1484123839547-f94e12f0-cd41-43a0-ac73-14649996aa3b,15045.0,27,3,1
1479536366558-82c462e9-4b1d-4f6d-a102-7f69cbb1fab2,189005.15,852,88,1
1485330410128-537d8570-7e91-44bc-b54b-40e8be9b4643,215175.8,2108,143,1
1494412371072-992ed26c-949d-4791-bcae-450f637ea9de,79310.0,178,48,1
1495519034855-6c0326a9-9b75-4822-af72-b6213fba7376,41058.0,56,14,1
1495631881541-f8dbf9ac-ae4c-40f6-a9ac-c1c637554709,11580.0,36,16,1
1497952600968-df77e688-80ec-498b-b891-1d8c696e9122,32630.0,60,0,1
1499249087773-571ed552-d230-44a1-b2a1-bdf4743d85c0,31458.8,133,18,1
1503909901087-b3c0c107-b9d2-4596-b247-e2976d3fe662,47884.5,249,42,1
1504618182357-83f14536-d6c4-4bdb-b99e-585a4bb2c020,96405.0,136,29,1
1508412201594-272fb6d7-8258-4970-af17-70a4366884da,54632.0,146,14,1
1509360195264-0c96fecd-de55-49e1-9f30-823883edefc2,1284832.54,7172,2360,1
1509360195264-0c96fecd-de55-49e1-9f30-823883edefc2,974446.0399999999,5164,1868,1
1506369339139-8015fae9-f205-43cc-8fbe-8d4cb75f8a5c,166427.66,1060,521,1
1508242147176-601f2265-35ce-49ab-b372-e6f4bdec49db,156951.0,987,76,1
1513082416343-e8f46a9c-11e6-40fc-9119-4c237861d710,60082.0,265,26,1
1513870297461-f724be99-f8a2-4339-8c57-0963797beeaf,58355.5,594,66,1
1513862896558-b1eb32ff-dced-4edb-b798-e4e2fa5ddf07,230840.0,684,41,1
1519732358658-db427801-904e-49d1-a77a-0ea639fc803d,53973.600000000006,345,68,1
1518627010837-3bbe14e5-83f6-4637-94fc-5a8cc47f7bec,35711.579999999994,116,18,1
1526650174857-db9720b1-f0d8-49d8-b55f-5a4509cab475,12317.130000000001,145,12,1
1530948080039-4fdc3daf-4365-4132-bb68-7d0ea2aa469e,476846.07,4597,430,1
1531502867718-fee1d024-fcf1-49fb-a201-afca644639f9,123228.97999999998,670,208,1
1448307984682-a9132048-645e-4f78-bb10-c26fab459162,273318.0,93,10,1
1471405425480-f3bbeec8-d8e1-4c43-a152-71ab3f026c1b,26860.0,55,8,1
1474450362479-1802b698-d10d-42e7-a02e-31e88b8c0e48,48833.5,76,15,1
1476946416106-b1047f5a-2593-4f6b-91a1-eb60270be3d2,26476.5,66,13,1
1490025308819-b6274a03-c1e2-4074-8faa-6207e3601762,41651.0,52,32,1
1491491405597-8ea24941-b29e-4cc6-a382-0a3784cc1010,43310.0,145,9,1
1471489250221-5f1783c4-4895-44f8-9ec1-9f560048397b,44886.11,159,17,1
1497254076023-da9cad56-e11b-487a-b388-fdd041660bb7,40675.0,244,15,1
1499248204650-61bcffcc-528a-4e06-98d1-a0f69d22a518,42482.8,191,62,1
1500584900590-611e923d-9c2c-4fbb-b526-bd311bd6c559,74556.0,509,157,1
1500592809193-274562f0-42cb-4b85-9c58-094c6a56cfad,44120.93,240,39,1
1489738068558-d548daca-303c-4b94-8a4d-d876d6336751,364120.0,1660,1022,1
1489738068558-d548daca-303c-4b94-8a4d-d876d6336751,191160.0,772,514,1
